#佣兵初始设定表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#编号,#名称,用途,形象,等级,品质,力量,敏捷,智力,魅力,最大血量,特性0,特性1,特性2,特性3,普攻,绝招,浮空值,重力,崩坏点数,霸体系数,攻击延迟播放速率,攻击延迟速率持续时间,性别,羁绊,描述,武器,防具,饰品,药水,职业(CLASSIFY_WARRIOR=战士 CLASSIFY_ARCHER=弓手 CLASSIFY_CLERIC=牧师 CLASSIFY_WITCHER=魔法师)
#!id,pname,use,avatar,lv,quality,strength,agile,intelligence,charm,hp_max,feat0,feat1,feat2,feat3,normal_attack,skill,skyup_value,gravity_value,break,endure,slow_attack,attack_time,sex,relations,desc,weapon,armor,accessory,potion,classify
int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,float,float,int,string,string,int,int,int,int,string
7030,审判官斯卡尔,No.5－8副本的奖励,7030,1,1,5,4,4,7,20,,,,,,4,20,90,100,,,,1,,严格按照巡逻路线行驶,,,,,CLASSIFY_CLERIC
7031,咏叹天使维安,10-募兵所,7031,1,1,5,4,4,8,20,,,,,,4,20,90,100,,,,1,,愿圣光守护你这个手无寸铁的人,,,,,CLASSIFY_CLERIC
7032,蜜蜂圣者,10-募兵所,7032,1,1,5,4,4,7,20,,,,,,4,20,90,100,,,,1,,你知道吗？黄瓜蘸蜂蜜会有一点哈密瓜的味道,,,,,CLASSIFY_CLERIC
7033,圣者弗尔,10-募兵所,7033,1,1,5,4,5,8,20,,,,,,4,20,90,100,,,,1,,春天了 花开了 野餐啦！,,,,,CLASSIFY_CLERIC
7034,尤娜,首充奖励,7034,1,2,10,11,11,15,40,,,,,,4,20,90,100,,,,1,,我就是主宰一切的圣者!,,,,,CLASSIFY_CLERIC
#化身－剑士,,,#化身－剑士,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,怪奇绅士,,9000,1,5,40,40,40,40,100,,,,,,1,20,90,100,,,,1,,你看起来好像很美味~,,,,,CLASSIFY_WARRIOR
9001,灵狐假面,,9001,1,5,40,40,40,40,100,,,,,,1,20,90,100,,,,1,,月下绽放的数珠丸恒次的祭典…,,,,,CLASSIFY_WARRIOR
9002,万圣剑士,,9002,1,5,40,40,40,40,100,,,,,,1,20,90,100,,,,1,,要来我家玩吗~,,,,,CLASSIFY_WARRIOR
9003,甜点武士,,9003,1,5,40,40,40,40,100,,,,,,1,20,90,100,,,,1,,夏天的时候无法独自出门,,,,,CLASSIFY_WARRIOR
#化身－弓箭手,,,#化身－弓箭手,,,,,,,,,,,,,,,,,,,,,,,,,,,
9100,呜咔呷咔,,9100,1,5,40,40,40,40,100,,,,,,2,20,90,100,,,,1,,部落最强的弓箭手，丛林里的最强者。,,,,,CLASSIFY_ARCHER
9101,甜橙射手,,9101,1,5,40,40,40,40,100,,,,,,2,20,90,100,,,,1,,将这个橙子摆在头上，走三百步，看我命中它！,,,,,CLASSIFY_ARCHER
9102,重盔射手,,9102,1,5,40,40,40,40,100,,,,,,2,20,90,100,,,,1,,我，都是用心来瞄准……,,,,,CLASSIFY_ARCHER
9103,阵笠射手,,9103,1,5,40,40,40,40,100,,,,,,2,20,90,100,,,,1,,防御和攻击一样重要……攻守一体！,,,,,CLASSIFY_ARCHER
#化身－法师,,,#化身－法师,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200,大A罗嗦,,9200,1,5,40,40,40,40,100,,,,,,3,20,90,100,,,,1,,服装品味奇特的念力大师，喜欢培育小苹果。,,,,,CLASSIFY_WITCHER
9201,甜点法师,,9201,1,5,40,40,40,40,100,,,,,,3,20,90,100,,,,1,,草莓、泡芙、冰激淋！,,,,,CLASSIFY_WITCHER
9202,血法妮妮,,9202,1,5,40,40,40,40,100,,,,,,3,20,90,100,,,,1,,法术只是工具，邪恶与否在于使用它的人。,,,,,CLASSIFY_WITCHER
9203,水法樱花,,9203,1,5,40,40,40,40,100,,,,,,3,20,90,100,,,,1,,吞拿鱼做成的法杖是她的标志。,,,,,CLASSIFY_WITCHER
#化身－主教,,,#化身－主教,,,,,,,,,,,,,,,,,,,,,,,,,,,
9300,德莱妮,,9300,1,5,40,40,40,40,100,,,,,,4,20,90,100,,,,1,,钻石、珠宝、首饰，啊！多么的美好！,,,,,CLASSIFY_CLERIC
9301,血族主教,,9301,1,5,40,40,40,40,100,,,,,,4,20,90,100,,,,1,,谁说吸血姬不能成为主教的？,,,,,CLASSIFY_CLERIC
9302,火热虔诚,,9302,1,5,40,40,40,40,100,,,,,,4,20,90,100,,,,1,,我对真理的追求，如同火焰般灼热！,,,,,CLASSIFY_CLERIC
9303,启迪者,,9303,1,5,40,40,40,40,100,,,,,,4,20,90,100,,,,1,,智慧是开启真理大门的钥匙！,,,,,CLASSIFY_CLERIC
#任务客串出场,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,女神化身1,,1030,1,5,100,100,100,100,1000,,,,,,20,20,90,100,,,,1,,服装品味奇特的念力大师，喜欢培育小苹果。,,,,,CLASSIFY_WARRIOR
12001,女神化身2,,5012,1,5,100,100,100,100,1000,,,,,,60,20,90,100,,,,1,,服装品味奇特的念力大师，喜欢培育小苹果。,,,,,CLASSIFY_WITCHER
12002,女神化身3,,7011,1,5,100,100,100,100,1000,,,,,,80,20,90,100,,,,1,,服装品味奇特的念力大师，喜欢培育小苹果。,,,,,CLASSIFY_CLERIC
12003,终极邪龙,,18003,1,1,50,50,50,50,5000,,,,,,3,25,90,100,,,,1,,这个是 快乐吞噬者 的描述,,,,,CLASSIFY_WITCHER
#怪物,,,#怪物,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,骷髅1,,18000,1,1,10,10,10,10,1000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18001,骷髅2,,18001,1,1,11,11,11,11,1200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18002,牛头人,,18002,1,1,12,12,12,12,1400,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18003,红龙,,18003,1,1,13,13,13,13,1600,,,,,普通火球攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18004,绿龙,,18004,1,1,14,14,14,14,1800,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18005,紫龙,,18005,1,1,15,15,15,15,2000,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18006,扇菇,,18006,1,1,16,16,16,16,2200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18007,丛生鸡腿菇,,18007,1,1,17,17,17,17,2400,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18008,红蘑菇,,18008,1,1,18,18,18,18,2600,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18009,棕毛牛,,18009,1,1,19,19,19,19,2800,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18010,紫毛牛,,18010,1,1,20,20,20,20,3000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18011,白毛羊,,18011,1,1,21,21,21,21,3200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18012,冰羊,,18012,1,1,22,22,22,22,3400,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18013,铃铛羊,,18013,1,1,23,23,23,23,3600,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18014,哥布林,,18014,1,1,24,24,24,24,3800,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18015,暴躁哥布林,,18015,1,1,25,25,25,25,4000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18016,丛林哥布林,,18016,1,1,26,26,26,26,4200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18017,叛逆哥布林,,18017,1,1,27,27,27,27,4400,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18018,邪魔哥布林,,18018,1,1,28,28,28,28,4600,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18019,恶魔哥布林,,18019,1,1,29,29,29,29,4800,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18020,深海魔蛇,,18020,1,1,30,30,30,30,5000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18021,老练哥布林,,18021,1,1,31,31,31,31,5200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18022,冷静哥布林,,18022,1,1,32,32,32,32,5400,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18023,巨魔杂兵,,18023,1,1,33,33,33,33,5600,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18024,食人魔酋长,,18024,1,1,34,34,34,34,5800,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18025,食人魔战士,,18025,1,1,35,35,35,35,6000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18026,大蓝蛟,,18026,1,1,36,36,36,36,6200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18027,幽魂,,18027,1,1,37,37,37,37,6400,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18028,告死使者,,18028,1,1,38,38,38,38,6600,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18029,死神近卫,,18029,1,1,39,39,39,39,6800,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18030,浅海武装者,,18030,1,1,40,40,40,40,7000,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18031,浅海巡逻者,,18031,1,1,41,41,41,41,7200,,,,,1,2,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18032,声波掌控者,,18032,1,1,42,42,42,42,7400,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18033,吞火鸟,,18033,1,1,43,43,43,43,7600,,,,,普通火球攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18034,舰型鲨,,18034,1,1,44,44,44,44,7800,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18035,烈焰红唇,,18035,1,1,44,44,44,44,7800,,,,,1,1,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18036,豌豆射手,,18036,1,1,44,44,44,44,7800,,,,,普通魔法攻击,41,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WITCHER
18037,山花烂漫,,18037,1,1,44,44,44,44,7800,,,,,1,1,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
18038,食人花,,18038,1,1,44,44,44,44,7800,,,,,1,1,20,90,40,,,,1,,这个是 快乐 的描述,,,,,CLASSIFY_WARRIOR
19000,扇菇,,18006,1,1,10,10,10,10,500,,,,,1,1,20,90,60,,,,1,,最普通的蘑菇,,,,,CLASSIFY_WARRIOR
19001,丛生鸡腿菇,,18007,1,1,11,11,11,11,600,,,,,1,1,20,90,60,,,,1,,蘑菇家族里面最聪明的那个,,,,,CLASSIFY_WARRIOR
19002,红蘑菇,,18008,1,1,12,12,12,12,700,,,,,1,1,20,90,60,,,,1,,蘑菇家族里面最厉害的那个,,,,,CLASSIFY_WARRIOR
19003,白毛羊,,18011,1,1,13,13,13,13,800,,,,,1,1,20,90,80,,,,1,,普通的咩咩,,,,,CLASSIFY_WARRIOR
19004,冰羊,,18012,1,1,14,14,14,14,900,,,,,1,1,20,90,80,,,,1,,经常去北极避暑，导致部分毛变成不会消融的冰块。,,,,,CLASSIFY_WARRIOR
19005,铃铛羊,,18013,1,1,15,15,15,15,1000,,,,,1,1,20,90,80,,,,1,,从饲主那里跑出来，所以有个铃铛。,,,,,CLASSIFY_WARRIOR
19006,棕毛牛,,18009,1,1,16,16,16,16,1200,,,,,1,1,20,90,100,,,,1,,普通的牦牛，颜色分辨能力很“强”。,,,,,CLASSIFY_WARRIOR
19007,紫毛牛,,18010,1,1,17,17,17,17,1400,,,,,1,1,20,90,100,,,,1,,普通的牦牛，被涂上了紫漆，所以丧失了自我。,,,,,CLASSIFY_WARRIOR
19008,牛头人,,18002,1,2,18,18,18,18,1600,,,,,1,1,20,90,100,,,,1,,从来没人想过：牛+红漆=暴怒牛头人！,,,,,CLASSIFY_WARRIOR
19009,哥布林,,18014,1,1,19,19,19,19,1800,,,,,1,1,20,90,120,,,,1,,正统游戏的入门怪（史莱姆除外）,,,,,CLASSIFY_WARRIOR
19010,暴躁哥布林,,18015,1,2,20,20,20,20,2000,,,,,1,1,20,90,120,,,,1,,因为不明原因，处于暴躁中的哥布林。,,,,,CLASSIFY_WARRIOR
19011,邪魔哥布林,,18018,1,3,21,21,21,21,2400,,,,,1,1,20,90,120,,,,1,,因为魔化污染，整只哥布林已经坏掉了。,,,,,CLASSIFY_WARRIOR
19012,巨魔杂兵,,18023,1,1,22,22,22,22,2800,,,,,1,1,20,90,140,,,,1,,哥布林与巨魔的区别在于它们的鼻子（仔细观察！）,,,,,CLASSIFY_WARRIOR
19013,巨魔战士,,18025,1,2,23,23,23,23,3200,,,,,1,1,20,90,140,,,,1,,经过训练的巨魔战士。,,,,,CLASSIFY_WARRIOR
19014,巨魔酋长,,18024,1,3,24,24,24,24,3600,,,,,1,1,20,90,140,,,,1,,酋长一般都戴着象征聪明的狐狸面具。,,,,,CLASSIFY_WARRIOR
19015,浅海武装者,,18030,1,1,25,25,25,25,4000,,,,,1,1,20,90,160,,,,1,,猪鼻子和它们的壳是这一种寄居蟹的特色。,,,,,CLASSIFY_WARRIOR
19016,浅海巡逻者,,18031,1,2,26,26,26,26,4500,,,,,1,1,20,90,160,,,,1,,负责战斗的蟹仔在外壳上有显著的不同。,,,,,CLASSIFY_WARRIOR
19017,大蓝蛟,,18026,1,3,27,27,27,27,5000,,,,,1,1,20,90,160,,,,1,,海洋中最残暴的生物之一。,,,,,CLASSIFY_WARRIOR
19018,声波掌控者,,18032,1,1,28,28,28,28,5500,,,,,普通魔法攻击,41,20,90,180,,,,1,,蝙蝠，进化出智慧了。,,,,,CLASSIFY_WITCHER
19019,吞火鸟,,18033,1,2,29,29,29,29,6000,,,,,普通火球攻击,41,20,90,180,,,,1,,以火焰为食，有特殊的消化器官。救火队的编外人员。,,,,,CLASSIFY_WITCHER
19020,告死使者,,18028,1,4,30,30,30,30,7000,,,,,1,41,20,90,180,,,,1,,距离成为真正的死神还有一段距离。,,,,,CLASSIFY_WITCHER
19021,老练哥布林,,18021,1,1,31,31,31,31,10000,,,,,1,1,20,90,200,,,,1,,为了显得很老练，所以戴上了老奶奶的发罩。,,,,,CLASSIFY_WARRIOR
19022,冷静哥布林,,18022,1,2,32,32,32,32,14000,,,,,1,1,20,90,200,,,,1,,冷静，一定要冷静！他扶了扶头上的冰块。,,,,,CLASSIFY_WARRIOR
19023,恶魔哥布林,,18019,1,4,40,40,40,40,10000,,,,,1,1,20,90,200,,,,1,,被魔化的它们变得更强了。,,,,,CLASSIFY_WARRIOR
19024,舰型鲨,,18034,1,2,34,34,34,34,12000,,,,,1,41,20,90,220,,,,1,,海洋中一种残暴的生物，喜欢用头撞人。,,,,,CLASSIFY_WITCHER
19025,大蓝蛟,,18026,1,3,35,35,35,35,14000,,,,,1,1,20,90,220,,,,1,,海中的王者。,,,,,CLASSIFY_WARRIOR
19026,深海魔蛇,,18020,1,4,36,36,36,36,16000,,,,,1,1,20,90,220,,,,1,,居住于深海的大魔王。,,,,,CLASSIFY_WARRIOR
19027,幽魂,,18027,1,2,37,37,37,37,20000,,,,,普通魔法攻击,41,20,90,240,,,,1,,它们眷恋着过去美好的生活，久久不愿离开。,,,,,CLASSIFY_WITCHER
19028,死神近卫,,18029,1,3,38,38,38,38,24000,,,,,普通魔法攻击,41,20,90,240,,,,1,,由幽魂演化的生命体，比原来强大很多。,,,,,CLASSIFY_WITCHER
19029,告死使者,,18028,1,4,39,39,39,39,28000,,,,,普通魔法攻击,41,20,90,240,,,,1,,不是真正的死神，但是已经很接近了。,,,,,CLASSIFY_WITCHER
19030,丛林哥布林,,18016,1,2,40,40,40,40,32000,,,,,1,1,20,90,260,,,,1,,有品位很糟糕的伪装。,,,,,CLASSIFY_WARRIOR
19031,叛逆哥布林,,18017,1,3,41,41,41,41,35000,,,,,1,1,20,90,260,,,,1,,曾经和亚马逊女战士学艺，结果连发型也学习回来了。,,,,,CLASSIFY_WARRIOR
19032,恶魔哥布林,,18019,1,4,42,42,42,42,38000,,,,,1,1,20,90,260,,,,1,,角越长，它的力量就越强！,,,,,CLASSIFY_WARRIOR
19033,绿龙,,18004,1,5,43,43,43,43,42000,,,,,普通魔法攻击,41,20,90,280,,,,1,,翠绿毒龙,,,,,CLASSIFY_WITCHER
19034,紫龙,,18005,1,5,44,44,44,44,46000,,,,,普通魔法攻击,41,20,90,280,,,,1,,深海龙王,,,,,CLASSIFY_WITCHER
19035,红龙,,18003,1,5,45,45,45,45,50000,,,,,普通火球攻击,41,20,90,280,,,,1,,终极邪龙,,,,,CLASSIFY_WITCHER
#世界Boss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,剧毒之炎,,18004,100,5,100,100,100,100,500000000,,,,,普通火球攻击,41,20,60,100,,,,1,,迷雾深林的最强生物,,,,,CLASSIFY_WITCHER
20001,末世之炎,,18003,100,5,100,100,100,100,1000000000,,,,,普通火球攻击,41,20,60,100,,,,1,,火元素界中的王者,,,,,CLASSIFY_WITCHER
20002,净世之炎,,18005,100,5,100,100,100,100,2000000000,,,,,普通火球攻击,41,20,60,100,,,,1,,最强魔龙,,,,,CLASSIFY_WITCHER
#测试佣兵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,巨钳剑士斯利姆,,1011,1,2,40,40,40,40,40,,,,,,1,20,90,100,,,,1,,油焖大虾，麻辣小龙虾，虾饺，炸虾天妇罗，呼呼呼^q^,,,,,CLASSIFY_WARRIOR
30001,紫箭艾蕾娜,,3005,1,3,60,60,60,60,80,,,,,,2,20,90,100,,,,1,,卖萌百科标注：紫薯过量容易染色，请节制食用,,,,,CLASSIFY_ARCHER
30002,黑炮甘道夫,,5012,1,4,80,80,80,80,80,,,,,,3,20,90,100,,,,1,,烟火商人，很会忽悠,,,,,CLASSIFY_WITCHER
30003,太阳圣者安娜,,7011,1,5,100,100,100,100,100,,,,,,4,20,90,100,,,,1,,身边WiFi信号很好,,,,,CLASSIFY_CLERIC
